lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.4125787019729614,2.4203507900238037,0.03599957749247551,0.1345440149307251,0,,,,,,,,
,85,,,,,0,0.49600517749786377,3.3098340034484863,0.027831140905618668,0.13719063997268677,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.5183205604553223,3.2237048149108887,0.03958326578140259,0.156366765499115,1,,,,,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.47892820835113525,2.7098848819732666,0.04685737192630768,0.16108232736587524,1,,,,,,,,
,171,,,,,1,0.4613271653652191,3.1463658809661865,0.021930139511823654,0.12476041913032532,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.4325062334537506,2.999621629714966,0.014737083576619625,0.11780701577663422,2,,,,,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.5413561463356018,4.007033348083496,0.032554250210523605,0.10809853672981262,2,,,,,,,,
,257,,,,,2,0.44524213671684265,3.0665652751922607,0.019376594573259354,0.11920901387929916,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.46637701988220215,3.4628305435180664,0.014059090986847878,0.10603488981723785,3,,,,,,,,
,343,,,,,3,0.4469929039478302,3.128872871398926,0.029074572026729584,0.10503115504980087,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.54903244972229,4.165287971496582,0.011994315311312675,0.1205093041062355,4,,,,,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.4913114905357361,3.578232765197754,0.014761860482394695,0.11872630566358566,4,,,,,,,,
,429,,,,,4,,,,,0.49233880639076233,3.402294635772705,0.03159119561314583,0.12051811814308167
,429,,,,,4,0.44327306747436523,3.1078758239746094,0.02245132438838482,0.11003412306308746,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.5055119395256042,3.705414295196533,0.014373918995261192,0.12059652805328369,5,,,,,,,,
5e-06,499,,,,,,,,,,,,,
,499,0.4709800183773041,3.385664701461792,0.014308886602520943,0.11810467392206192,5,,,,,,,,
,515,,,,,5,0.44999366998672485,3.2643606662750244,0.018352385610342026,0.10520519316196442,,,,
5e-06,549,,,,,,,,,,,,,
,549,0.4820663332939148,3.479951858520508,0.018380703404545784,0.11569042503833771,6,,,,,,,,
5e-06,599,,,,,,,,,,,,,
,599,0.29096847772598267,1.8675346374511719,0.010214390233159065,0.09400063753128052,6,,,,,,,,
,601,,,,,6,0.4241846203804016,3.0294318199157715,0.019984224811196327,0.10125718265771866,,,,
5e-06,649,,,,,,,,,,,,,
,649,0.39678728580474854,2.5328619480133057,0.023642247542738914,0.11985884606838226,7,,,,,,,,
,687,,,,,7,0.4445360004901886,3.1704742908477783,0.01974187232553959,0.10774678736925125,,,,
5e-06,699,,,,,,,,,,,,,
,699,0.298678457736969,1.915492057800293,0.008471778593957424,0.09865748137235641,8,,,,,,,,
5e-06,749,,,,,,,,,,,,,
,749,0.3856615722179413,2.6400818824768066,0.011271746829152107,0.11038162559270859,8,,,,,,,,
,773,,,,,8,0.4332648515701294,3.116791009902954,0.020202627405524254,0.10138313472270966,,,,
5e-06,799,,,,,,,,,,,,,
,799,0.47749489545822144,3.8327689170837402,0.004899663385003805,0.08931837230920792,9,,,,,,,,
5e-06,849,,,,,,,,,,,,,
,849,0.4956924021244049,3.741051197052002,0.010837326757609844,0.11074993014335632,9,,,,,,,,
,859,,,,,9,,,,,0.4594152867794037,3.1841394901275635,0.01750100590288639,0.12350036203861237
,859,,,,,9,0.4362451434135437,3.148942470550537,0.018569352105259895,0.10278142988681793,,,,
5e-06,899,,,,,,,,,,,,,
,899,0.4042963981628418,3.0108158588409424,0.03487628698348999,0.068338543176651,10,,,,,,,,
,945,,,,,10,0.423132061958313,3.0710361003875732,0.015802739188075066,0.10022581368684769,,,,
5e-06,949,,,,,,,,,,,,,
,949,0.35538044571876526,2.86169171333313,0.01383547205477953,0.05537581443786621,11,,,,,,,,
5e-06,999,,,,,,,,,,,,,
,999,0.4932398796081543,3.645468235015869,0.0176132433116436,0.11107979714870453,11,,,,,,,,
,1031,,,,,11,0.4250752329826355,3.101374387741089,0.017461730167269707,0.09747608006000519,,,,
5e-06,1049,,,,,,,,,,,,,
,1049,0.2940400242805481,1.6609150171279907,0.010695947334170341,0.11725258082151413,12,,,,,,,,
5e-06,1099,,,,,,,,,,,,,
,1099,0.38628366589546204,2.5845651626586914,0.014136153273284435,0.11369097232818604,12,,,,,,,,
,1117,,,,,12,0.4232245981693268,3.0606536865234375,0.018403401598334312,0.09875572472810745,,,,
5e-06,1149,,,,,,,,,,,,,
,1149,0.447149395942688,3.138298511505127,0.006216427311301231,0.12710312008857727,13,,,,,,,,
5e-06,1199,,,,,,,,,,,,,
,1199,0.3891630172729492,2.58020281791687,0.01258605532348156,0.11855670064687729,13,,,,,,,,
,1203,,,,,13,0.4300624132156372,3.1435611248016357,0.01953270472586155,0.09617366641759872,,,,
5e-06,1249,,,,,,,,,,,,,
,1249,0.4580096900463104,3.7525525093078613,0.006331298034638166,0.07642314583063126,14,,,,,,,,
,1289,,,,,14,,,,,0.4691944122314453,3.384511709213257,0.01409424189478159,0.11664906144142151
,1289,,,,,14,0.4119241535663605,2.934379816055298,0.01865515112876892,0.09983090311288834,,,,
5e-06,1299,,,,,,,,,,,,,
,1299,0.38632646203041077,2.7217602729797363,0.007433845661580563,0.10671655088663101,15,,,,,,,,
5e-06,1349,,,,,,,,,,,,,
,1349,0.35128504037857056,2.571723461151123,0.0064913141541182995,0.08762135356664658,15,,,,,,,,
