lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.7809569239616394,5.6725311279296875,0.05735776573419571,0.15634599328041077,0,,,,,,,,
,85,,,,,0,0.4852990508079529,3.2615792751312256,0.022262753918766975,0.13687847554683685,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.3966328501701355,2.4012348651885986,0.04231352359056473,0.11419584602117538,1,,,,,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.3845463693141937,2.5335099697113037,0.020387161523103714,0.11080820858478546,1,,,,,,,,
,171,,,,,1,0.4660124182701111,3.2785911560058594,0.023169176653027534,0.11498404294252396,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.34643760323524475,2.1051759719848633,0.031578827649354935,0.10434117913246155,2,,,,,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.5081226825714111,4.097952365875244,0.013710700906813145,0.0846167728304863,2,,,,,,,,
,257,,,,,2,0.4527212679386139,3.1854169368743896,0.020265229046344757,0.11391417682170868,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.49167537689208984,3.3868792057037354,0.010545973666012287,0.14244146645069122,3,,,,,,,,
,343,,,,,3,0.4446201026439667,3.1748220920562744,0.020415781065821648,0.10672206431627274,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.6518963575363159,4.306042671203613,0.05290823429822922,0.16838383674621582,4,,,,,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.31023263931274414,2.0254697799682617,0.010185066610574722,0.09750057756900787,4,,,,,,,,
,429,,,,,4,,,,,0.45887643098831177,3.259213447570801,0.014038770459592342,0.1189163401722908
,429,,,,,4,0.4564415216445923,3.2764761447906494,0.021216915920376778,0.10757718235254288,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.3967098891735077,2.783334732055664,0.02053542248904705,0.09784100949764252,5,,,,,,,,
5e-06,499,,,,,,,,,,,,,
,499,0.4489385485649109,3.303318977355957,0.035530269145965576,0.08307639509439468,5,,,,,,,,
,515,,,,,5,0.4252097010612488,3.056797504425049,0.018980931490659714,0.10054895281791687,,,,
5e-06,549,,,,,,,,,,,,,
,549,0.46195462346076965,3.3275301456451416,0.013391576707363129,0.11581002175807953,6,,,,,,,,
5e-06,599,,,,,,,,,,,,,
,599,0.3554379343986511,2.453749179840088,0.017730053514242172,0.09233295917510986,6,,,,,,,,
,601,,,,,6,0.42539796233177185,3.0673415660858154,0.018729189410805702,0.09993463009595871,,,,
5e-06,649,,,,,,,,,,,,,
,649,0.33495986461639404,1.6749118566513062,0.05003270134329796,0.1174359917640686,7,,,,,,,,
,687,,,,,7,0.4410826563835144,3.1913719177246094,0.0194261372089386,0.10251928865909576,,,,
5e-06,699,,,,,,,,,,,,,
,699,0.40034031867980957,2.7973036766052246,0.01038175355643034,0.11022822558879852,8,,,,,,,,
5e-06,749,,,,,,,,,,,,,
,749,0.4858216345310211,3.3564093112945557,0.029575353488326073,0.12060534954071045,8,,,,,,,,
,773,,,,,8,0.4164225161075592,2.9336957931518555,0.01766684278845787,0.1053861454129219,,,,
5e-06,799,,,,,,,,,,,,,
,799,0.4229440987110138,3.1428165435791016,0.0174256619066,0.09123677760362625,9,,,,,,,,
5e-06,849,,,,,,,,,,,,,
,849,0.5793790221214294,4.38664436340332,0.05174550414085388,0.08896905183792114,9,,,,,,,,
,859,,,,,9,,,,,0.441454142332077,2.984487295150757,0.017422230914235115,0.1255832016468048
,859,,,,,9,0.4262195825576782,3.0644583702087402,0.019085777923464775,0.10068809241056442,,,,
5e-06,899,,,,,,,,,,,,,
,899,0.37811219692230225,2.931858777999878,0.02016359195113182,0.06476268172264099,10,,,,,,,,
,945,,,,,10,0.4225129783153534,3.029571771621704,0.017665671184659004,0.10189003497362137,,,,
5e-06,949,,,,,,,,,,,,,
,949,0.3953089714050293,3.0605921745300293,0.007611818145960569,0.08163794875144958,11,,,,,,,,
5e-06,999,,,,,,,,,,,,,
,999,0.35414567589759827,2.6444363594055176,0.007713072933256626,0.08198896795511246,11,,,,,,,,
,1031,,,,,11,0.4167487919330597,2.992415428161621,0.01880151405930519,0.09870585799217224,,,,
5e-06,1049,,,,,,,,,,,,,
,1049,0.3500526547431946,2.6346330642700195,0.010386370122432709,0.07620297372341156,12,,,,,,,,
5e-06,1099,,,,,,,,,,,,,
,1099,0.4828660488128662,3.6084256172180176,0.01204388402402401,0.1099795550107956,12,,,,,,,,
,1117,,,,,12,0.42094945907592773,3.0772452354431152,0.018365653231739998,0.09485921263694763,,,,
5e-06,1149,,,,,,,,,,,,,
,1149,0.5380181074142456,4.200479507446289,0.012667480856180191,0.10530261695384979,13,,,,,,,,
5e-06,1199,,,,,,,,,,,,,
,1199,0.5291805267333984,4.077133655548096,0.021417994052171707,0.1000492051243782,13,,,,,,,,
