lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.48733359575271606,3.7139127254486084,0.008551768958568573,0.10739056766033173,0,,,,,,,,
,60,,,,,0,0.5069610476493835,3.452712297439575,0.023833099752664566,0.13785673677921295,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.5185086727142334,4.363431930541992,0.009934477508068085,0.0722309798002243,1,,,,,,,,
,121,,,,,1,0.5084130764007568,3.492466688156128,0.026732128113508224,0.1324341744184494,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.5462301969528198,3.1376543045043945,0.13005083799362183,0.10241398215293884,2,,,,,,,,
,182,,,,,2,0.49665921926498413,3.463282346725464,0.028564555570483208,0.12176642566919327,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.4438760280609131,3.1740593910217285,0.014065406285226345,0.11240468919277191,3,,,,,,,,
,243,,,,,3,0.4836726486682892,3.4355695247650146,0.019877776503562927,0.12023790180683136,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.3915509581565857,2.5385818481445312,0.013643747195601463,0.12404897809028625,4,,,,,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.47818049788475037,3.4050140380859375,0.009591309353709221,0.12808775901794434,4,,,,,,,,
,304,,,,,4,,,,,0.48737573623657227,3.5608553886413574,0.018557636067271233,0.11273257434368134
,304,,,,,4,0.46926257014274597,3.2406630516052246,0.021932220086455345,0.12326401472091675,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.3694579005241394,2.2049167156219482,0.025490306317806244,0.12347596138715744,5,,,,,,,,
,365,,,,,5,0.46947312355041504,3.3262462615966797,0.021085640415549278,0.11576290428638458,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.5368776321411133,3.338953733444214,0.061413075774908066,0.14156919717788696,6,,,,,,,,
,426,,,,,6,0.4745772182941437,3.3662936687469482,0.018966306000947952,0.11898151785135269,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.595514714717865,4.528543472290039,0.02264356054365635,0.12001679092645645,7,,,,,,,,
,487,,,,,7,0.4848494827747345,3.482013463973999,0.018722156062722206,0.11792602390050888,,,,
5e-06,499,,,,,,,,,,,,,
,499,0.33553123474121094,2.54471492767334,0.005794844590127468,0.07526486366987228,8,,,,,,,,
,548,,,,,8,0.45618799328804016,3.2428762912750244,0.021182101219892502,0.1107182428240776,,,,
5e-06,549,,,,,,,,,,,,,
,549,0.5537925958633423,3.7535696029663086,0.07709666341543198,0.10133901238441467,9,,,,,,,,
5e-06,599,,,,,,,,,,,,,
,599,0.46205011010169983,3.479795455932617,0.042972467839717865,0.07109808921813965,9,,,,,,,,
,609,,,,,9,,,,,0.46345749497413635,3.157554864883423,0.022012781351804733,0.12568914890289307
,609,,,,,9,0.46417519450187683,3.331040620803833,0.018520550802350044,0.11255054920911789,,,,
5e-06,649,,,,,,,,,,,,,
,649,0.4772714078426361,3.600205898284912,0.025638196617364883,0.09161260724067688,10,,,,,,,,
,670,,,,,10,0.47303643822669983,3.4002225399017334,0.020213786512613297,0.11280035227537155,,,,
5e-06,699,,,,,,,,,,,,,
,699,0.5660916566848755,4.192831039428711,0.01185581088066101,0.13495275378227234,11,,,,,,,,
