lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.4500669836997986,2.4068171977996826,0.009251733310520649,0.2001335173845291,0,,,,,,,,
,60,,,,,0,0.5037203431129456,3.4087302684783936,0.0302558746188879,0.1325913667678833,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.4527685046195984,3.348407030105591,0.009166339412331581,0.10876145958900452,1,,,,,,,,
,121,,,,,1,0.5045227408409119,3.4915754795074463,0.02485358901321888,0.1305115967988968,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.45087671279907227,3.1429877281188965,0.008530955761671066,0.12804698944091797,2,,,,,,,,
,182,,,,,2,0.48379260301589966,3.344785690307617,0.020830463618040085,0.12848345935344696,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.46935129165649414,3.5094857215881348,0.018415123224258423,0.09998758137226105,3,,,,,,,,
,243,,,,,3,0.47388842701911926,3.308016538619995,0.022107813507318497,0.12097907066345215,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.399711549282074,2.842907428741455,0.01590127870440483,0.0995195209980011,4,,,,,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.4765072166919708,3.587968349456787,0.021496538072824478,0.09621386975049973,4,,,,,,,,
,304,,,,,4,,,,,0.4472231864929199,3.091968536376953,0.018281104043126106,0.11974523961544037
,304,,,,,4,0.48045244812965393,3.376297950744629,0.022146040573716164,0.1206766664981842,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.3644680678844452,2.2067861557006836,0.036607611924409866,0.1071818396449089,5,,,,,,,,
,365,,,,,5,0.46358171105384827,3.2203056812286377,0.02121465839445591,0.12033646553754807,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.39690932631492615,2.846233367919922,0.018422547727823257,0.09386344254016876,6,,,,,,,,
,426,,,,,6,0.47367581725120544,3.366621494293213,0.021246321499347687,0.1157672181725502,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.5250475406646729,3.4458746910095215,0.037857502698898315,0.1426025629043579,7,,,,,,,,
