lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.45911067724227905,2.9174675941467285,0.01163540966808796,0.1557285040616989,0,,,,,,,,
,60,,,,,0,0.5208722352981567,3.5638844966888428,0.027587885037064552,0.13689595460891724,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.5675896406173706,4.297359943389893,0.007906842976808548,0.12994682788848877,1,,,,,,,,
,121,,,,,1,0.48221704363822937,3.291775703430176,0.024997396394610405,0.12804214656352997,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.4316282570362091,2.483537197113037,0.0368853360414505,0.1463892161846161,2,,,,,,,,
,182,,,,,2,0.46576669812202454,3.207993745803833,0.020380433648824692,0.12458676844835281,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.456484317779541,3.212585926055908,0.020331835374236107,0.11489391326904297,3,,,,,,,,
,243,,,,,3,0.49044761061668396,3.4931139945983887,0.020392008125782013,0.12074416130781174,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.41120555996894836,2.9007747173309326,0.015325024724006653,0.10580304265022278,4,,,,,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.5141791105270386,3.3858482837677,0.038687195628881454,0.13690711557865143,4,,,,,,,,
,304,,,,,4,,,,,0.41568723320961,2.788032293319702,0.012377329170703888,0.12450668215751648
,304,,,,,4,0.4825218617916107,3.4231932163238525,0.02164480835199356,0.11855761706829071,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.3634815514087677,2.4288411140441895,0.010504286736249924,0.1100931316614151,5,,,,,,,,
,365,,,,,5,0.487041175365448,3.465740919113159,0.024320632219314575,0.11614640802145004,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.4074741005897522,2.4635732173919678,0.013922588899731636,0.14719420671463013,6,,,,,,,,
,426,,,,,6,0.4755583107471466,3.427487850189209,0.02125590667128563,0.11155365407466888,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.3528849482536316,2.2500734329223633,0.0077520618215203285,0.12012557685375214,7,,,,,,,,
,487,,,,,7,0.4711383581161499,3.3615458011627197,0.021786672994494438,0.11319701373577118,,,,
5e-06,499,,,,,,,,,,,,,
,499,0.38458606600761414,2.5652759075164795,0.024453971534967422,0.1036045104265213,8,,,,,,,,
,548,,,,,8,0.4678228795528412,3.2764430046081543,0.021107345819473267,0.11907116323709488,,,,
5e-06,549,,,,,,,,,,,,,
