lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.476560115814209,3.0422003269195557,0.00651041604578495,0.16582968831062317,0,,,,,,,,
,53,,,,,0,0.5336613059043884,3.6488397121429443,0.022825026884675026,0.14595229923725128,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.5221379399299622,3.9457688331604004,0.009208744391798973,0.11835227906703949,1,,,,,,,,
,107,,,,,1,0.49493616819381714,3.342348575592041,0.02601570077240467,0.1346854567527771,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.3960839509963989,2.2721123695373535,0.017363758757710457,0.15150895714759827,2,,,,,,,,
,161,,,,,2,0.4924331605434418,3.4263346195220947,0.022448653355240822,0.12735101580619812,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.6036699414253235,4.429313659667969,0.02706601656973362,0.13367249071598053,3,,,,,,,,
,215,,,,,3,0.4765462279319763,3.3553404808044434,0.0194776002317667,0.121534563601017,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.5642359256744385,4.2658796310424805,0.03828214481472969,0.09936583787202835,4,,,,,,,,
,269,,,,,4,,,,,0.50161212682724,3.469316244125366,0.02046237327158451,0.13421809673309326
,269,,,,,4,0.48665502667427063,3.454190254211426,0.020567292347550392,0.12066865712404251,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.46173781156539917,2.7904908657073975,0.04986252635717392,0.13282617926597595,5,,,,,,,,
,323,,,,,5,0.4912433624267578,3.426633834838867,0.026601476594805717,0.12197858840227127,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.422623872756958,3.208624839782715,0.015801597386598587,0.085959792137146,6,,,,,,,,
,377,,,,,6,0.47611910104751587,3.454176664352417,0.019957836717367172,0.11074351519346237,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.4685268998146057,3.291053056716919,0.009772635996341705,0.12964895367622375,7,,,,,,,,
,431,,,,,7,0.4783502221107483,3.39330792427063,0.02047640271484852,0.11854302883148193,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.5228336453437805,3.5795071125030518,0.011419117450714111,0.15346381068229675,8,,,,,,,,
,485,,,,,8,0.4767322242259979,3.3685712814331055,0.022691795602440834,0.11718320846557617,,,,
5e-06,499,,,,,,,,,,,,,
,499,0.5184365510940552,3.647599220275879,0.01919940859079361,0.13447722792625427,9,,,,,,,,
,539,,,,,9,,,,,0.4467851221561432,3.132024049758911,0.013001724146306515,0.12058094143867493
