lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val
5e-06,49,,,,,,,,,,,,,
,49,0.5188340544700623,3.7962725162506104,0.012410038150846958,0.12679678201675415,0,,,,,,,,
,53,,,,,0,0.5359216928482056,3.6650235652923584,0.0284432340413332,0.1409759521484375,,,,
5e-06,99,,,,,,,,,,,,,
,99,0.4254250228404999,2.647286891937256,0.008698325604200363,0.15199801325798035,1,,,,,,,,
,107,,,,,1,0.5030450224876404,3.445138931274414,0.02723746933043003,0.1312936544418335,,,,
5e-06,149,,,,,,,,,,,,,
,149,0.5785213112831116,4.424258232116699,0.021846478804945946,0.11424896866083145,2,,,,,,,,
,161,,,,,2,0.4908605217933655,3.3744072914123535,0.025038158521056175,0.1283816546201706,,,,
5e-06,199,,,,,,,,,,,,,
,199,0.5272541046142578,3.751556873321533,0.015220606699585915,0.13687780499458313,3,,,,,,,,
,215,,,,,3,0.49177682399749756,3.425621509552002,0.02699069306254387,0.12222398817539215,,,,
5e-06,249,,,,,,,,,,,,,
,249,0.32835960388183594,2.201808452606201,0.012417025864124298,0.0957617312669754,4,,,,,,,,
,269,,,,,4,,,,,0.52327561378479,3.6743693351745605,0.016863109543919563,0.13897554576396942
,269,,,,,4,0.4921128749847412,3.4604296684265137,0.02642383985221386,0.1196461021900177,,,,
5e-06,299,,,,,,,,,,,,,
,299,0.38879019021987915,2.7927491664886475,0.011553574353456497,0.09796168655157089,5,,,,,,,,
,323,,,,,5,0.4747523069381714,3.3379433155059814,0.019216645509004593,0.12174133956432343,,,,
5e-06,349,,,,,,,,,,,,,
,349,0.3940460681915283,2.950003147125244,0.010397089645266533,0.08864865452051163,6,,,,,,,,
,377,,,,,6,0.47373512387275696,3.372786283493042,0.023391354829072952,0.1130652129650116,,,,
5e-06,399,,,,,,,,,,,,,
,399,0.4695435166358948,3.039428234100342,0.020065875723958015,0.14553478360176086,7,,,,,,,,
,431,,,,,7,0.47409096360206604,3.347769260406494,0.021448452025651932,0.11786549538373947,,,,
5e-06,449,,,,,,,,,,,,,
,449,0.5122648477554321,3.5631296634674072,0.009351467713713646,0.1466003656387329,8,,,,,,,,
,485,,,,,8,0.48130595684051514,3.4364726543426514,0.024106966331601143,0.11355175077915192,,,,
5e-06,499,,,,,,,,,,,,,
,499,0.45320940017700195,3.187945604324341,0.014469679445028305,0.11994516849517822,9,,,,,,,,
,539,,,,,9,,,,,0.42809224128723145,3.1537797451019287,0.014433328993618488,0.09828093647956848
,539,,,,,9,0.4812709391117096,3.4280149936676025,0.020819315686821938,0.11765015870332718,,,,
5e-06,549,,,,,,,,,,,,,
,549,0.40802064538002014,2.4318981170654297,0.006364059634506702,0.15846678614616394,10,,,,,,,,
,593,,,,,10,0.48037800192832947,3.4077415466308594,0.01951410248875618,0.12008978426456451,,,,
5e-06,599,,,,,,,,,,,,,
,599,0.3538559079170227,2.3537650108337402,0.009936912916600704,0.10854251682758331,11,,,,,,,,
,647,,,,,11,0.473578542470932,3.401272773742676,0.020009417086839676,0.11344180256128311,,,,
5e-06,649,,,,,,,,,,,,,
,649,0.40664908289909363,2.8411996364593506,0.013555318117141724,0.10897379368543625,12,,,,,,,,
5e-06,699,,,,,,,,,,,,,
,699,0.45161640644073486,2.680311918258667,0.041395336389541626,0.1421898454427719,12,,,,,,,,
,701,,,,,12,0.4673771262168884,3.3425025939941406,0.018148453906178474,0.11497849971055984,,,,
5e-06,749,,,,,,,,,,,,,
,749,0.458634614944458,3.2400689125061035,0.012138184159994125,0.12248953431844711,13,,,,,,,,
,755,,,,,13,0.4709327220916748,3.4138991832733154,0.021707359701395035,0.10783547163009644,,,,
5e-06,799,,,,,,,,,,,,,
,799,0.45974254608154297,3.587130069732666,0.021846957504749298,0.07918258756399155,14,,,,,,,,
,809,,,,,14,,,,,0.44373220205307007,3.2306625843048096,0.011652237735688686,0.10901368409395218
,809,,,,,14,0.4691055119037628,3.3537192344665527,0.01918897032737732,0.11454471945762634,,,,
5e-06,849,,,,,,,,,,,,,
,849,0.4658295214176178,3.5995945930480957,0.01734771579504013,0.08852232992649078,15,,,,,,,,
,863,,,,,15,0.46105480194091797,3.303344249725342,0.021672410890460014,0.10904797166585922,,,,
5e-06,899,,,,,,,,,,,,,
,899,0.3375929594039917,1.697597861289978,0.010963482782244682,0.15686967968940735,16,,,,,,,,
,917,,,,,16,0.4526735842227936,3.2479734420776367,0.018617121502757072,0.10925910621881485,,,,
5e-06,949,,,,,,,,,,,,,
,949,0.33939844369888306,2.533334732055664,0.014401363208889961,0.07166361808776855,17,,,,,,,,
,971,,,,,17,0.44548991322517395,3.2373361587524414,0.016794588416814804,0.10496167093515396,,,,
5e-06,999,,,,,,,,,,,,,
,999,0.3966220021247864,2.6161155700683594,0.01900045946240425,0.11600998044013977,18,,,,,,,,
,1025,,,,,18,0.4589337110519409,3.3505666255950928,0.01796588860452175,0.1059112697839737,,,,
5e-06,1049,,,,,,,,,,,,,
,1049,0.4818685054779053,3.8693833351135254,0.011627724394202232,0.08330243825912476,19,,,,,,,,
,1079,,,,,19,,,,,0.43516334891319275,3.1899280548095703,0.01340960618108511,0.10276090353727341
,1079,,,,,19,0.4443279504776001,3.1663718223571777,0.019034676253795624,0.10865601152181625,,,,
5e-06,1099,,,,,,,,,,,,,
,1099,0.3290158212184906,2.1892576217651367,0.02632047049701214,0.08376958966255188,20,,,,,,,,
,1133,,,,,20,0.4559182822704315,3.255723237991333,0.018476663157343864,0.11186923086643219,,,,
5e-06,1149,,,,,,,,,,,,,
,1149,0.48214733600616455,3.443960666656494,0.02052471786737442,0.11722652614116669,21,,,,,,,,
,1187,,,,,21,0.4381241500377655,3.0869364738464355,0.019748901948332787,0.10968159139156342,,,,
5e-06,1199,,,,,,,,,,,,,
,1199,0.4409753084182739,3.380265235900879,0.015586957335472107,0.08736182749271393,22,,,,,,,,
,1241,,,,,22,0.45718708634376526,3.251966953277588,0.02205917052924633,0.10993126779794693,,,,
5e-06,1249,,,,,,,,,,,,,
,1249,0.4499976933002472,3.567725419998169,0.008809922263026237,0.08441516757011414,23,,,,,,,,
,1295,,,,,23,0.44537410140037537,3.21537184715271,0.020333770662546158,0.1035032570362091,,,,
5e-06,1299,,,,,,,,,,,,,
,1299,0.5306281447410583,4.337014198303223,0.007614455185830593,0.08931225538253784,24,,,,,,,,
5e-06,1349,,,,,,,,,,,,,
,1349,0.46682241559028625,3.1074163913726807,0.015476067550480366,0.1406046748161316,24,,,,,,,,
,1349,,,,,24,,,,,0.45001277327537537,3.2930173873901367,0.012208550237119198,0.10850249975919724
,1349,,,,,24,0.44819897413253784,3.218561887741089,0.019858404994010925,0.10648442059755325,,,,
5e-06,1399,,,,,,,,,,,,,
,1399,0.4305860102176666,3.1553125381469727,0.01148234587162733,0.10357241332530975,25,,,,,,,,
,1403,,,,,25,0.4695119857788086,3.4551408290863037,0.02036028727889061,0.10363763570785522,,,,
5e-06,1449,,,,,,,,,,,,,
,1449,0.5091150999069214,4.111451148986816,0.010043496266007423,0.0879264697432518,26,,,,,,,,
,1457,,,,,26,0.4530201256275177,3.2689871788024902,0.018540052697062492,0.10758134722709656,,,,
5e-06,1499,,,,,,,,,,,,,
